folio,categoria_incidente_c4,incidente_c4,anio_creacion,mes_creacion,fecha_creacion,hora_creacion,anio_cierre,mes_cierre,fecha_cierre,hora_cierre,codigo_cierre,clas_con_f_alarma,alcaldia_cierre,colonia_cierre,manzana,latitud,longitud
C5/191113/00249,Disturbio,Escandalo,2019,Noviembre,2019-11-13,01:14:17,2019,Noviembre,2019-11-13,01:21:49,Afirmativo,FALTA CÍVICA,VENUSTIANO CARRANZA,CARACOL,0901700010846002,19.426119,-99.068801
C5/191113/00250,Disturbio,Escandalo,2019,Noviembre,2019-11-13,01:13:36,2019,Noviembre,2019-11-13,01:44:51,Negativo,FALTA CÍVICA,IZTAPALAPA,CARMEN SERDAN ( U HAB),0900700014310011,19.299564,-99.079042
C5/191113/00223,Medicos,Inconsciente,2019,Noviembre,2019-11-13,01:00:48,2019,Noviembre,2019-11-13,01:29:16,Afirmativo,URGENCIAS MEDICAS,IZTAPALAPA,PREDIO DEGOLLADO,0900700015501046,19.318908,-99.040439
C5/191113/00475,Disturbio,Escandalo,2019,Noviembre,2019-11-13,02:57:27,2019,Noviembre,2019-11-13,02:58:39,Duplicado,FALTA CÍVICA,TLALPAN,TLALPAN CENTRO,0901200010375016,19.293866,-99.174294
C5/191113/00477,Disturbio,Escandalo,2019,Noviembre,2019-11-13,02:57:57,2019,Noviembre,2019-11-13,03:00:11,Duplicado,FALTA CÍVICA,TLALPAN,TLALPAN CENTRO,0901200010375017,19.292372,-99.175031
C5/191113/00227,Disturbio,Escandalo,2019,Noviembre,2019-11-13,01:02:41,2019,Noviembre,2019-11-13,01:23:39,Negativo,FALTA CÍVICA,AZCAPOTZALCO,SAN PEDRO XALPA (PBLO),0900200011095012,19.48296,-99.207379
C5/191113/00228,Disturbio,Escandalo,2019,Noviembre,2019-11-13,01:02:56,2019,Noviembre,2019-11-13,01:24:32,Afirmativo,FALTA CÍVICA,CUAUHTEMOC,HIPODROMO II,0901500011337005,19.408362,-99.175076
C5/191113/00235,Disturbio,Escandalo,2019,Noviembre,2019-11-13,01:05:22,2019,Noviembre,2019-11-13,02:17:43,Afirmativo,FALTA CÍVICA,ALVARO OBREGON,ALCANTARILLA,0901000011843029,19.339543,-99.243453
C5/191113/00164,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:46:16,2019,Noviembre,2019-11-13,00:54:26,Negativo,FALTA CÍVICA,COYOACAN,CAMPESTRE CHURUBUSCO,0900300010179023,19.345752,-99.13667
C5/191113/00166,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,00:44:39,2019,Noviembre,2019-11-13,01:37:50,Negativo,SERVICIO,BENITO JUAREZ,SAN SIMON TICUMAC,0901400010651011,19.373986,-99.142656
C5/191113/00169,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:47:40,2019,Noviembre,2019-11-13,00:53:07,Duplicado,FALTA CÍVICA,CUAUHTEMOC,MORELOS I,0901500010339009,19.447896,-99.131425
C5/191113/00170,Servicios,Entrevista ciudadana,2019,Noviembre,2019-11-13,00:44:28,2019,Noviembre,2019-11-13,01:05:55,Negativo,SERVICIO,GUSTAVO A. MADERO,SANTA ROSA,0900500010366005,19.526238,-99.171374
C5/191113/00174,Servicios,Entrevista ciudadana,2019,Noviembre,2019-11-13,00:48:42,2019,Noviembre,2019-11-13,00:56:37,Duplicado,SERVICIO,GUSTAVO A. MADERO,SANTA ROSA,0900500010366017,19.527526,-99.170514
C5/191113/00176,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:47:40,2019,Noviembre,2019-11-13,01:03:02,Duplicado,FALTA CÍVICA,ALVARO OBREGON,TORRES SAN ANTONIO (U HAB),0901000010135010,19.385539,-99.195357
C5/191113/00288,Servicios,Entrevista ciudadana,2019,Noviembre,2019-11-13,01:27:55,2019,Noviembre,2019-11-13,01:35:48,Negativo,SERVICIO,BENITO JUAREZ,"NARVARTE V",0901400010420021,19.387873,-99.161497
C5/191113/00186,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:53:19,2019,Noviembre,2019-11-13,01:09:21,Negativo,FALTA CÍVICA,TLAHUAC,MIGUEL HIDALGO OTE,0901100011272003,19.291877,-99.042468
C5/191113/00258,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,01:15:43,2019,Noviembre,2019-11-13,01:36:00,Negativo,SERVICIO,CUAUHTEMOC,SAN RAFAEL II,0901500010678005,19.439082,-99.166926
C5/191113/00199,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,00:56:52,2019,Noviembre,2019-11-13,01:09:48,Negativo,SERVICIO,AZCAPOTZALCO,PRO HOGAR I,0900200010415006,19.476425,-99.149412
C5/191113/00110,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:29:22,2019,Noviembre,2019-11-13,00:53:11,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,SOLIDARIDAD NACIONAL,0900500012786013,19.531838,-99.152759
C5/191113/00121,Servicios,Entrevista ciudadana,2019,Noviembre,2019-11-13,00:27:48,2019,Noviembre,2019-11-13,00:47:31,Negativo,SERVICIO,COYOACAN,EL RELOJ,NA,19.318698,-99.138673
C5/191113/00136,Medicos,Inconsciente,2019,Noviembre,2019-11-13,00:35:13,2019,Noviembre,2019-11-13,02:39:19,Afirmativo,URGENCIAS MEDICAS,GUSTAVO A. MADERO,EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB),0900500012127004,19.468843,-99.091995
C5/191113/00140,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:36:44,2019,Noviembre,2019-11-13,00:50:17,Afirmativo,FALTA CÍVICA,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ 3A SECCION,0900500012108005,19.459919,-99.102938
C5/191113/00141,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:36:52,2019,Noviembre,2019-11-13,01:28:42,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,NUEVA ATZACOALCO I,0900500010703005,19.503723,-99.083535
C5/191113/00146,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,00:38:24,2019,Noviembre,2019-11-13,00:54:46,Negativo,SERVICIO,GUSTAVO A. MADERO,SANTA ROSA,0900500010366005,19.526238,-99.171374
C5/191113/00063,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,00:15:49,2019,Noviembre,2019-11-13,00:30:44,Afirmativo,SERVICIO,AZCAPOTZALCO,PRADOS DEL ROSARIO,0900200010966009,19.502259,-99.209105
C5/191113/00065,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:16:00,2019,Noviembre,2019-11-13,01:30:56,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,DEFENSORES DE LA REPUBLICA,0900500011557016,19.476429,-99.145294
C5/191113/00075,Servicios,Entrevista ciudadana,2019,Noviembre,2019-11-13,00:18:54,2019,Noviembre,2019-11-13,00:57:00,Negativo,SERVICIO,COYOACAN,CIUDAD UNIVERSITARIA,0900300010770028,19.324707,-99.174403
C5/191113/00104,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,00:27:17,2019,Noviembre,2019-11-13,00:38:54,Afirmativo,SERVICIO,IZTAPALAPA,APATLACO,0900700013632005,19.378415,-99.115031
C5/191113/00021,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-13,00:03:50,2019,Noviembre,2019-11-13,00:20:55,Negativo,SERVICIO,ALVARO OBREGON,LIBERALES DE 1857,0901000011434009,19.392507,-99.213116
C5/191113/00025,Disturbio,Escandalo,2019,Noviembre,2019-11-13,00:06:14,2019,Noviembre,2019-11-13,00:15:39,Negativo,FALTA CÍVICA,IZTACALCO,TLACOTAL RAMOS MILLAN,0900600010433010,19.395112,-99.10735
C5/191112/07700,Servicios,Entrevista ciudadana,2019,Noviembre,2019-11-12,22:22:34,2019,Noviembre,2019-11-13,00:00:21,Afirmativo,SERVICIO,AZCAPOTZALCO,LA PRECIOSA,0900200010294007,19.487345,-99.192627
C5/191112/07828,Denuncia,Persona sospechosa,2019,Noviembre,2019-11-12,22:48:24,2019,Noviembre,2019-11-13,00:03:16,Negativo,SERVICIO,IZTACALCO,GRANJAS MEXICO I,0900600010293012,19.404265,-99.111989
C5/191112/07176,Danos por fenomeno natural o tercero,Caida de barda,2019,Noviembre,2019-11-12,21:09:00,2019,Noviembre,2019-11-13,00:45:45,Afirmativo,SERVICIO,IZTAPALAPA,CABEZA DE JUAREZ II (U HAB),0900700013596048,19.384677,-99.042372
C5/191113/00785,Medicos,Inconsciente,2019,Noviembre,2019-11-13,06:16:28,2019,Noviembre,2019-11-13,06:20:36,Duplicado,URGENCIAS MEDICAS,GUSTAVO A. MADERO,BONDOJITO,0900500012076019,19.462002,-99.108971
